[setup] output_dir=experiments/synthetic/range_comparison/models/range_followup
[setup] device=cpu
[setup] structural_channel=rwse
[data] generating fixed validation, ID-test, and OOD-test sets
[depth 3 | epoch 001] train_loss=0.8013 val: loss=0.7963 node_acc=0.3402 exact=0.0000 f1=0.4901 pos=0.317 pred_pos=0.977 | ID: loss=0.7991 node_acc=0.3416 exact=0.0000 f1=0.4891 pos=0.315 pred_pos=0.974 | OOD: loss=0.8277 node_acc=0.2761 exact=0.0000 f1=0.2922 pos=0.149 pred_pos=0.873
[depth 3 | epoch 002] train_loss=0.6855 val: loss=0.7070 node_acc=0.4706 exact=0.0000 f1=0.5450 pos=0.317 pred_pos=0.846 | ID: loss=0.7052 node_acc=0.4762 exact=0.0000 f1=0.5462 pos=0.315 pred_pos=0.839 | OOD: loss=0.8733 node_acc=0.3347 exact=0.0000 f1=0.3100 pos=0.149 pred_pos=0.815
[depth 3 | epoch 003] train_loss=0.5423 val: loss=0.5265 node_acc=0.7360 exact=0.0039 f1=0.7049 pos=0.317 pred_pos=0.577 | ID: loss=0.5275 node_acc=0.7349 exact=0.0039 f1=0.7030 pos=0.315 pred_pos=0.577 | OOD: loss=0.5008 node_acc=0.7254 exact=0.0000 f1=0.5122 pos=0.149 pred_pos=0.413
[depth 3 | epoch 004] train_loss=0.4313 val: loss=0.3063 node_acc=0.8630 exact=0.0820 f1=0.7948 pos=0.317 pred_pos=0.351 | ID: loss=0.3043 node_acc=0.8649 exact=0.0625 f1=0.7975 pos=0.315 pred_pos=0.352 | OOD: loss=0.3266 node_acc=0.8358 exact=0.0000 f1=0.5726 pos=0.149 pred_pos=0.235
[depth 3 | epoch 005] train_loss=0.4102 val: loss=0.2879 node_acc=0.8630 exact=0.0430 f1=0.8194 pos=0.317 pred_pos=0.442 | ID: loss=0.2859 node_acc=0.8659 exact=0.0615 f1=0.8222 pos=0.315 pred_pos=0.439 | OOD: loss=0.3675 node_acc=0.7894 exact=0.0000 f1=0.5685 pos=0.149 pred_pos=0.339
[depth 3 | epoch 006] train_loss=0.3748 val: loss=0.2748 node_acc=0.8618 exact=0.0469 f1=0.8199 pos=0.317 pred_pos=0.450 | ID: loss=0.2726 node_acc=0.8626 exact=0.0605 f1=0.8197 pos=0.315 pred_pos=0.447 | OOD: loss=0.4205 node_acc=0.7532 exact=0.0000 f1=0.5325 pos=0.149 pred_pos=0.379
[depth 3 | epoch 007] train_loss=0.4193 val: loss=0.3268 node_acc=0.8759 exact=0.1309 f1=0.7905 pos=0.317 pred_pos=0.275 | ID: loss=0.3156 node_acc=0.8801 exact=0.1387 f1=0.7982 pos=0.315 pred_pos=0.279 | OOD: loss=0.2696 node_acc=0.8806 exact=0.0000 f1=0.5849 pos=0.149 pred_pos=0.138
[depth 3 | epoch 008] train_loss=0.3325 val: loss=0.4774 node_acc=0.7929 exact=0.0156 f1=0.7538 pos=0.317 pred_pos=0.524 | ID: loss=0.4753 node_acc=0.7955 exact=0.0283 f1=0.7551 pos=0.315 pred_pos=0.520 | OOD: loss=0.7017 node_acc=0.6703 exact=0.0000 f1=0.4749 pos=0.149 pred_pos=0.478
[depth 3 | epoch 009] train_loss=0.4135 val: loss=0.2975 node_acc=0.8639 exact=0.0957 f1=0.8233 pos=0.317 pred_pos=0.453 | ID: loss=0.2947 node_acc=0.8638 exact=0.0977 f1=0.8224 pos=0.315 pred_pos=0.451 | OOD: loss=0.5786 node_acc=0.7113 exact=0.0000 f1=0.5084 pos=0.149 pred_pos=0.438
[depth 3 | epoch 010] train_loss=0.2940 val: loss=0.2023 node_acc=0.9072 exact=0.2168 f1=0.8654 pos=0.317 pred_pos=0.372 | ID: loss=0.2005 node_acc=0.9083 exact=0.2158 f1=0.8668 pos=0.315 pred_pos=0.373 | OOD: loss=0.2705 node_acc=0.8594 exact=0.0000 f1=0.6005 pos=0.149 pred_pos=0.203
[depth 3 | epoch 011] train_loss=0.2626 val: loss=0.2319 node_acc=0.9047 exact=0.1934 f1=0.8692 pos=0.317 pred_pos=0.411 | ID: loss=0.2285 node_acc=0.9072 exact=0.1973 f1=0.8714 pos=0.315 pred_pos=0.407 | OOD: loss=0.3537 node_acc=0.8278 exact=0.0000 f1=0.6069 pos=0.149 pred_pos=0.289
